Character,Voiced by,Description/role,First appearance 
Homer Simpson ,Dan Castellaneta ,"Husband of Marge; father of Bart, Lisa, and Maggie.","""Good Night"" (The Simpsons shorts)"
Marge Simpson ,Julie Kavner ,"Wife of Homer; mother of Bart, Lisa, and Maggie.","""Good Night"""
Bart Simpson ,Nancy Cartwright ,Oldest child and only son of Homer and Marge; brother of Lisa and Maggie. ,"""Good Night"""
Lisa Simpson ,Yeardley Smith ,Middle child and oldest daughter of Homer and Marge; sister of Bart and Maggie. ,"""Good Night"""
Maggie Simpson ,Various ,Youngest child (the baby) and daughter of Homer and Marge; sister of Bart and Lisa. ,"""Good Night"""
Akira ,"George Takei, Hank Azaria",Waiter at The Happy Sumo; karate teacher. ,"""One Fish, Two Fish, Blowfish, Blue Fish"""
"Albright, Ms. ?Ms. Albright",Tress MacNeille ,Sunday school teacher. ,"""The Telltale Head"""
"Amadopolis, Aristotle","Jon Lovitz, Dan Castellaneta",Owner of the Shelbyville Nuclear Power Plant. ,"""Homer Defined"""
"Atkins ?Atkins, State Comptroller","Harry Shearer, Hank Azaria",State comptroller. ,"""Lisa Gets an 'A'"""
"Bailey, Mary ?",Maggie Roswell ,Governor of Springfield's state. ,"""Two Cars in Every Garage and Three Eyes on Every Fish"""
"Barlow ?Birchibald""Birch"" T",Harry Shearer ,Radio talk show host; Fox News anchor. ,"""Sideshow Bob Roberts"""
"Beardly, Jasper ?",Harry Shearer ,Grandpa's closest neighbor in the Retirement Castle. ,"""Homer's Odyssey"""
"Benjamin, Doug, and Gary","Harry Shearer, Hank Azaria, and Dan Castellaneta",Springfield University students. ,"""Homer Goes to College"""
Bill and Marty ,Dan Castellaneta and Harry Shearer ,KBBL Radio co-hosts. ,"""Bart vs. Thanksgiving"""
Blinky ,Unvoiced ,Three-eyed fish. ,"""Two Cars in Every Garage and Three Eyes on Every Fish"""
Blue-Haired Lawyer ,Dan Castellaneta ,Attorney. ,"""Bart Gets Hit by a Car"""
Boobarella ,Tress MacNeille ,Host of late night TV monster movies. ,"""I'm Spelling as Fast as I Can"""
Borton ?Wendell ,Russi Taylor ,Student at Springfield Elementary School. ,"""Homer's Odyssey"""
"Bouvier, Gladys ?",Julie Kavner ,Aunt of Selma and Patty Bouvier and Marge Simpson. Sister of Jacqueline Bouvier. ,"""Selma's Choice"""
"Bouvier, Jacqueline ?",Julie Kavner ,"Mother of Selma and Patty Bouvier and Marge Simpson, Grandmother of Bart, Lisa, Maggie and Ling.","""Bart vs. Thanksgiving"""
"Bouvier, Patty",Julie Kavner ,Twin sister of Selma and older sister of Marge. ,"""Simpsons Roasting on an Open Fire"""
"Bouvier, Selma",Julie Kavner ,Twin sister of Patty and older sister of Marge. Adoptive mother of Ling. ,"""Simpsons Roasting on an Open Fire"""
"Brockman, Kent",Harry Shearer ,News anchor. ,"""Krusty Gets Busted"""
Bumblebee Man ,Hank Azaria ,Star of slapstick sketch comedy show on Canal Ocho. ,"""Itchy & Scratchy: The Movie"""
"Burns, Charles Montgomery",Harry Shearer ,Owner of the Springfield Nuclear Power Plant. ,"""Simpsons Roasting on an Open Fire"""
Capital City Goofball ,Tom Poston ,Mascot of the Capital City Capitals baseball team. ,"""Dancin' Homer"""
"Carlson, Carl",Hank Azaria ,Springfield Nuclear Power Plant employee. ,"""Homer's Night Out"""
Crazy Cat Lady ,Tress MacNeille ,"Mentally ill owner of many cats. Name revealed as Eleanor Abernathy in""See Homer Run"".","""Girly Edition"""
"Chalmers, Superintendent Gary",Hank Azaria ,Public schools superintendent. ,"""Whacking Day"""
Charlie ,Dan Castellaneta ,Springfield Nuclear Power Plant employee. ,"""Life on the Fast Lane"""
Chase ,Hank Azaria ,Luann Van Houten's ex-boyfriend; American Gladiator. ,"""A Milhouse Divided"""
"Christian, Scott",Dan Castellaneta ,News co-anchor. ,"""Krusty Gets Busted"""
Cowboy Bob ,Albert Brooks ,RV salesman. ,"""The Call of the Simpsons"""
Comic Book Guy ,Hank Azaria ,"Proprietor of The Android's Dungeon comic book store. Name revealed to be Jeff Albertson in""Homer and Ned's Hail Mary Pass"".","""Three Men and a Comic Book"""
"Costington, Mr.",Hank Azaria ,President of Costington's Department Store. ,"""Trash of the Titans"""
Database ,Nancy Cartwright ,Student at Springfield Elementary School. ,"""Bart's Comet"""
"Desmond, Declannd",Eric Idle ,Documentary filmmaker. ,"""'Scuse Me While I Miss the Sky"""
Disco Stu ,Hank Azaria ,Disco aficionado. ,"""Two Bad Neighbors"""
Dolph ,Tress MacNeille ,Springfield Elementary School bully. ,"""The Telltale Head"""
"Doris, Lunchlady",Doris Grau ,Springfield Elementary School lunch lady. ,"""Lisa's Pony"""
Duffman ,Hank Azaria ,Spokes-mascot for Duff Beer. ,"""The City of New York vs. Homer Simpson"""
Eddie and Lou ,Harry Shearer and Hank Azaria ,Springfield police officers. ,"""There's No Disgrace Like Home"""
Ernst and Gunter ,Harry Shearer and Hank Azaria ,Lion tamers. ,"""$pringfield (or, How I Learned to Stop Worrying and Love Legalized Gambling)"""
Fat Tony ,Joe Mantegna ,Mob boss. ,"""Bart the Murderer"""
"Flanders, Maude",Maggie Roswell ,Ned Flanders's deceased wife. ,"""Dead Putting Society"""
"Flanders, Ned",Harry Shearer ,The Simpson family's next door neighbor; owner of The Leftorium. ,"""Simpsons Roasting on an Open Fire"""
"Flanders, Rod",Pamela Hayden ,Ned and Maude Flanders's elder son. ,"""The Call of the Simpsons"""
"Flanders, Todd",Nancy Cartwright ,Ned and Maude Flanders's younger son. ,"""Simpsons Roasting on an Open Fire"""
Frankie the Squealer ,Dan Castellaneta ,Informant for Fat Tony. ,"""Insane Clown Poppy"""
"Frink, Professor John",Hank Azaria ,"Scientist, inventor.","""Old Money"""
"Gerald, Baby",Unvoiced ,One-eyebrowed baby. ,"""Sweet Seymour Skinner's Baadasssss Song"""
Ginger Flanders ,Tress MacNeille ,"Ned Flanders's""Vegas wife.""","""Viva Ned Flanders"""
"Glick, Mrs.Mrs.",Cloris Leachman ,Elderly. ,"""Three Men and a Comic Book"""
Gloria ,Julia Louis-Dreyfus ,Snake's pregnant girlfriend. ,"""A Hunka Hunka Burns in Love"""
"Gumble, Barney",Dan Castellaneta ,Homer's drunken old pal. ,"""Simpsons Roasting on an Open Fire"""
"Gunderson, Gil",Dan Castellaneta ,Unsuccessful Salesman. ,"""Realty Bites"""
Happy Little Elves ,"Dan Castellaneta, Hank Azaria, and Harry Shearer",Children's cartoon series characters. ,"""Scary Movie"" (The Simpsons shorts)"
"Harm, Judge Constance",Jane Kaczmarek ,Springfield judge. ,"""The Parent Rap"""
Herman ,Harry Shearer ,Owner of Herman's Military Antiques shop. ,"""Bart the General"""
"Hibbert, Bernice",Tress MacNeille ,Dr. Hibbert's wife. ,"""Bart's Dog Gets an F"""
"Hibbert, Dr. Julius",Harry Shearer ,Medical doctor. ,"""Bart the Daredevil"""
"Hoover, Elizabeth",Maggie Roswell ,Lisa Simpson's teacher at Springfield Elementary School. ,"""Lisa's Substitute"""
"Hutz, Lionel",Phil Hartman ,Attorney. ,"""Bart Gets Hit by a Car"""
Itchy & Scratchy ,Dan Castellaneta and Harry Shearer ,Cartoon cat and mouse. ,"""The Bart Simpson Show"" (The Simpsons shorts)"
Jacques ,Albert Brooks,Bowling instructor. ,"""Life on the Fast Lane"""
"Jones, Jimbo",Pamela Hayden ,Springfield Elementary School bully. ,"""The Telltale Head"""
"Jordan, Rachel",Shawn Colvin ,Lead singer of the Christian Rock band Kovenant. ,"""Alone Again, Natura-diddily"""
Kang and Kodos ,Harry Shearer and Dan Castellaneta ,Extraterrestrials. ,"""Treehouse of Horror"""
"Kashmir, Princess",Maggie Roswell ,Belly dancer. ,"""Homer's Night Out"""
Kearney ,Nancy Cartwright ,Springfield Elementary School bully. ,"""The Telltale Head"""
"Krabappel, Edna",Marcia Wallace ,Bart Simpson's teacher at Springfield Elementary School. ,"""Bart the Genius"""
"Krustofski, Rabbi Hyman",Jackie Mason ,Rabbi; father of Krusty the Clown. ,"""Like Father, Like Clown"""
Krusty the Clown ,Dan Castellaneta ,"TV show clown host, original name Herschel Shmoikel Pinchas Yerucham Krustofski.","""The Krusty the Clown Show"" (The Simpsons shorts)"
"Kwan, Cookie",Tress MacNeille ,Real estate agent. ,"""Realty Bites"""
"Largo, Dewey",Harry Shearer ,Springfield Elementary School's music teacher. ,"""Simpsons Roasting on an Open Fire"""
Legs and Louie ,Hank Azaria and Dan Castellaneta ,Fat Tony's henchmen. ,"""Bart the Murderer"""
